sID	Contingency	singular_rating	structure_rating	Age	Sex (2 = female)
1	24_0_8_16	100	100	27	1
2	24_0_8_16	67	87	43	2
3	24_0_8_16	84	100	18	1
4	24_0_8_16	99	99	30	1
5	24_0_8_16	100	100	35	1
6	24_0_8_16	69	100	35	1
7	24_0_8_16	89	98	29	2
8	24_0_8_16	100	94	29	1
9	24_0_8_16	90	99	22	2
10	24_0_8_16	73	99	25	1
11	24_0_8_16	66	87	63	2
12	24_0_8_16	70	95	33	1
13	24_0_8_16	11	99	33	2
14	24_0_8_16	62	95	72	2
15	24_0_8_16	80	100	31	2
16	24_0_8_16	61	45	59	1
17	24_0_8_16	57	2	41	1
18	24_0_8_16	86	87	42	1
19	24_0_8_16	50	99	31	2
20	24_0_8_16	61	67	26	1
21	24_0_8_16	50	96	19	1
22	24_0_8_16	50	99	39	1
23	24_0_8_16	51	75	28	2
24	24_0_8_16	96	95	51	2
25	24_0_8_16	53	52	46	2
26	24_0_8_16	51	100	40	2
27	24_0_8_16	100	100	24	1
28	24_0_8_16	35	70	25	1
29	24_0_8_16	81	100	30	2
30	24_0_12_12	60	60	38	1
31	24_0_12_12	50	97	18	1
32	24_0_12_12	50	98	34	1
33	24_0_12_12	50	100	48	2
34	24_0_12_12	71	90	43	2
35	24_0_12_12	50	100	46	1
36	24_0_12_12	90	91	22	1
37	24_0_12_12	50	100	22	1
38	24_0_12_12	50	79	19	1
39	24_0_12_12	50	100	25	1
40	24_0_12_12	29	81	31	2
41	24_0_12_12	66	100	22	1
42	24_0_12_12	77	100	31	2
43	24_0_12_12	50	50	58	1
44	24_0_12_12	70	99	29	2
45	24_0_12_12	50	57	18	1
46	24_0_12_12	76	91	19	2
47	24_0_12_12	92	93	34	2
48	24_0_12_12	50	50	35	2
49	24_0_12_12	50	100	23	1
50	24_0_12_12	50	50	37	2
51	24_0_12_12	50	98	47	2
52	24_0_12_12	50	100	45	2
53	24_0_12_12	50	92	41	2
54	24_0_12_12	100	100	25	2
55	24_0_12_12	88	94	69	1
56	24_0_12_12	50	74	19	1
57	24_0_12_12	50	89	63	2
58	24_0_0_24	100	30	19	1
59	24_0_0_24	100	100	24	1
60	24_0_0_24	81	78	22	1
61	24_0_0_24	50	100	20	1
62	24_0_0_24	100	99	19	2
63	24_0_0_24	92	99	21	1
64	24_0_0_24	56	100	52	1
65	24_0_0_24	37	47	40	2
66	24_0_0_24	83	83	34	2
67	24_0_0_24	94	100	52	1
68	24_0_0_24	100	99	39	1
69	24_0_0_24	92	98	52	1
70	24_0_0_24	58	80	25	1
71	24_0_0_24	87	90	26	1
72	24_0_0_24	100	100	35	1
73	24_0_0_24	87	100	33	1
74	24_0_0_24	88	100	33	2
75	24_0_0_24	100	100	42	2
76	24_0_0_24	100	100	52	1
77	24_0_0_24	82	100	22	1
78	24_0_0_24	88	87	37	1
79	24_0_0_24	94	89	18	1
80	24_0_0_24	95	98	21	1
81	24_0_0_24	100	100	25	2
82	24_0_0_24	94	92	33	1
83	24_0_0_24	79	86	29	2
