sID	Contingency	singular_rating	structure_rating	Age	Sex	Duration
1	24_0_12_12	50	50	24	1	415
2	24_0_12_12	84	99	68	2	566
3	24_0_12_12	69	72	19	2	312
4	24_0_12_12	50	81	21	2	284
5	24_0_12_12	50	100	49	2	400
6	24_0_12_12	50	100	52	1	357
7	24_0_12_12	50	100	25	2	223
8	24_0_12_12	50	100	31	2	279
9	24_0_12_12	50	91	26	1	327
10	24_0_12_12	50	100	52	1	254
11	24_0_12_12	50	99	34	2	711
12	24_0_12_12	50	50	44	1	290
13	24_0_12_12	51	76	53	2	336
14	24_0_12_12	53	100	26	1	267
15	24_0_12_12	50	62	30	2	257
16	24_0_12_12	79	98	42	2	277
17	24_0_12_12	50	80	41	2	438
18	24_0_12_12	50	100	64	2	665
19	24_0_12_12	54	85	40	1	276
20	24_0_12_12	50	99	26	1	324
21	24_0_12_12	51	100	36	2	316
22	24_0_12_12	31	88	25	2	264
23	24_0_12_12	50	100	24	2	282
24	24_0_12_12	26	100	21	2	206
25	24_0_12_12	50	2	49	1	208
26	24_0_12_12	50	100	36	1	326
27	24_0_12_12	50	100	23	2	208
28	24_0_8_16	5	95	24	1	343
29	24_0_8_16	40	98	22	1	295
30	24_0_8_16	24	95	45	2	441
31	24_0_8_16	14	100	20	1	215
32	24_0_8_16	82	28	36	2	249
33	24_0_8_16	50	100	20	1	214
34	24_0_8_16	50	89	30	1	365
35	24_0_8_16	50	91	35	1	389
36	24_0_8_16	20	93	25	1	259
37	24_0_8_16	50	99	18	1	264
38	24_0_8_16	50	97	19	2	385
39	24_0_8_16	28	100	26	2	694
40	24_0_8_16	40	47	28	1	183
41	24_0_8_16	37	78	24	1	286
42	24_0_8_16	50	91	37	2	240
43	24_0_8_16	29	100	26	1	349
44	24_0_8_16	45	78	30	2	194
45	24_0_8_16	28	100	33	2	350
46	24_0_8_16	70	77	40	1	618
47	24_0_8_16	19	92	29	1	212
48	24_0_8_16	31	98	27	1	370
49	24_0_8_16	50	81	30	2	439
50	24_0_8_16	26	100	24	2	333
51	24_0_8_16	0	100	30	1	509
52	24_0_0_24	18	99	55	2	512
53	24_0_0_24	17	10	41	1	535
54	24_0_0_24	33	96	23	1	215
55	24_0_0_24	50	64	22	1	300
56	24_0_0_24	25	90	23	1	406
57	24_0_0_24	0	100	29	1	234
58	24_0_0_24	0	100	26	2	188
59	24_0_0_24	50	78	19	2	385
60	24_0_0_24	21	100	28	1	311
61	24_0_0_24	14	99	45	1	388
62	24_0_0_24	36	71	21	1	293
63	24_0_0_24	13	97	18	1	208
64	24_0_0_24	4	96	20	2	288
65	24_0_0_24	50	76	44	2	402
66	24_0_0_24	7	92	23	1	399
67	24_0_0_24	50	50	29	1	331
68	24_0_0_24	11	100	52	2	679
69	24_0_0_24	0	100	20	2	256
70	24_0_0_24	50	100	41	1	507
71	24_0_0_24	13	91	39	2	270
72	24_0_0_24	39	98	45	2	341
73	24_0_0_24	50	100	25	2	510
74	24_0_0_24	2	100	30	1	276
