sID	Age	Sex (2 = female)	Query	con_8080	con_6262	con_4444	con_2626	con_8062	con_6244	con_4426	con_2608	con_8044	con_6226	con_4408	con_8026	con_6208	con_8008
1	21	1	generic_structure	50	50	28	31	90	58	50	70	96	86	80	93	89	100
2	25	1	generic_structure	0	90	0	0	99	66	75	55	99	99	90	99	99	99
3	46	1	generic_structure	50	60	10	10	50	30	60	35	70	70	80	100	85	100
4	25	2	generic_structure	64	38	68	65	54	63	68	66	55	48	58	58	76	55
5	25	1	generic_structure	50	40	40	35	50	50	55	75	50	70	65	85	90	95
6	26	1	generic_structure	50	0	50	10	30	10	30	21	75	79	50	85	75	100
7	52	2	generic_structure	1	2	50	2	38	40	79	15	99	69	50	61	81	99
8	32	1	generic_structure	5	50	52	10	60	75	60	50	80	70	80	90	90	100
9	49	1	generic_structure	13	18	29	10	80	40	26	40	50	56	56	95	66	100
10	26	1	generic_structure	55	69	99	60	66	77	88	56	89	70	79	78	67	77
11	22	1	generic_structure	50	24	42	49	58	69	67	72	84	83	80	97	82	100
12	44	1	generic_structure	50	5	5	20	60	60	60	60	80	85	85	90	90	100
13	51	1	generic_structure	50	50	0	7	98	56	55	74	100	67	69	93	91	100
14	50	2	generic_structure	0	25	15	20	30	35	50	40	70	60	50	70	80	75
15	36	1	generic_structure	1	0	0	4	16	12	17	18	51	60	48	78	81	94
16	40	1	generic_structure	50	15	15	15	60	52	75	65	80	85	90	90	95	95
17	32	2	generic_structure	0	0	1	1	41	63	75	60	76	77	65	100	77	99
18	34	1	generic_structure	50	1	0	2	66	59	79	41	96	92	82	99	97	100
19	46	2	generic_structure	0	40	10	95	0	95	98	80	99	95	0	96	50	99
20	32	2	generic_structure	0	5	42	0	62	40	20	28	17	71	53	76	79	100
21	22	1	generic_structure	1	1	49	26	78	75	50	76	97	99	97	100	95	100
22	36	1	generic_structure	50	0	0	0	100	68	62	20	100	60	75	100	50	100
23	45	2	generic_structure	1	6	50	4	53	58	80	100	100	63	72	99	88	91
24	28	2	generic_structure	0	5	11	2	44	20	61	21	85	82	68	86	84	100
25	24	1	generic_structure	50	19	50	0	90	32	51	15	100	79	51	100	91	100
26	47	1	generic_structure	10	40	10	10	75	70	60	50	75	75	80	90	85	100
27	22	2	generic_structure	0	23	17	0	60	52	55	60	93	100	62	94	80	100
28	50	2	generic_structure	3	2	2	2	1	50	50	0	91	90	2	91	87	100
29	35	2	generic_structure	50	50	50	50	60	50	60	60	80	60	60	90	70	100
30	30	1	generic_structure	50	50	50	50	50	50	55	60	65	55	70	70	75	90
31	43	1	generic_structure	50	50	50	50	94	60	75	61	100	97	81	100	94	100
32	25	1	generic_structure	0	29	21	3	65	73	46	53	87	93	91	97	87	99
33	48	2	generic_structure	0	50	50	0	50	50	50	0	100	100	50	100	100	100
34	24	2	generic_structure	50	1	1	1	50	10	60	10	100	0	40	100	100	100
35	34	1	generic_structure	51	50	38	5	65	4	36	16	53	78	28	87	74	100
36	24	1	generic_structure	50	9	16	10	85	84	75	75	99	98	99	100	100	100
37	23	1	generic_structure	49	50	50	50	67	56	65	59	80	61	74	86	79	99
38	30	1	generic_structure	50	83	59	50	89	91	54	90	99	85	60	99	85	99
39	30	1	generic_structure	4	3	9	3	41	47	52	42	52	57	65	56	64	79
40	33	2	generic_structure	50	35	50	76	62	13	60	70	76	86	99	85	92	100
41	28	2	generic_structure	43	89	0	0	95	10	53	16	100	78	75	100	86	100
42	28	2	generic_structure	50	5	50	50	54	54	56	56	62	66	70	82	85	94
43	23	1	singular_observed_mouse	50	50	50	50	50	50	50	50	50	50	50	50	50	50
44	25	1	singular_observed_mouse	50	61	50	86	58	67	79	22	68	65	79	88	60	99
45	25	1	singular_observed_mouse	0	20	20	50	50	50	55	55	95	65	90	95	90	100
46	45	1	singular_observed_mouse	1	5	25	6	40	45	20	87	75	66	65	60	90	99
47	31	1	singular_observed_mouse	1	36	50	25	66	60	75	90	82	84	90	85	90	99
48	40	2	singular_observed_mouse	10	30	30	10	30	50	55	50	60	60	80	80	85	99
49	34	2	singular_observed_mouse	0	0	0	0	55	40	53	53	90	82	75	90	95	100
50	34	2	singular_observed_mouse	10	27	91	20	49	70	60	75	92	84	90	85	97	98
51	31	2	singular_observed_mouse	50	82	50	50	95	73	70	10	80	58	85	90	75	99
52	54	1	singular_observed_mouse	5	2	4	15	41	40	60	59	67	91	100	80	86	100
53	26	2	singular_observed_mouse	50	50	50	50	15	60	75	75	100	75	100	75	100	100
54	27	1	singular_observed_mouse	5	10	30	10	30	60	55	46	60	65	55	80	80	97
55	35	2	singular_observed_mouse	0	0	50	30	60	75	60	100	75	80	100	80	100	100
56	61	1	singular_observed_mouse	1	9	25	3	52	50	51	20	70	53	75	85	93	99
57	31	1	singular_observed_mouse	5	5	2	2	15	70	50	70	60	85	75	95	75	90
58	28	1	singular_observed_mouse	20	55	36	25	61	40	35	10	77	65	50	76	87	100
59	36	1	singular_observed_mouse	0	8	50	50	18	50	10	13	65	59	80	85	86	100
60	29	1	singular_observed_mouse	5	0	10	25	55	70	60	60	85	90	90	95	75	100
61	27	1	singular_observed_mouse	0	15	50	50	30	75	80	25	85	70	85	90	100	100
62	36	2	singular_observed_mouse	20	30	50	20	60	60	60	70	90	80	80	90	90	95
63	25	1	singular_observed_mouse	99	10	50	10	25	25	50	25	60	25	50	75	75	95
64	56	2	singular_observed_mouse	100	80	75	100	90	85	80	85	80	100	100	70	100	99
65	19	1	singular_observed_mouse	0	0	51	0	76	0	50	100	81	64	78	100	99	100
66	36	1	singular_observed_mouse	50	30	50	50	70	70	70	70	70	70	70	70	70	70
67	24	1	singular_observed_mouse	0	0	50	25	10	25	50	25	100	100	50	100	75	100
68	47	1	singular_observed_mouse	50	42	50	30	81	60	52	90	81	70	68	63	73	91
69	41	2	singular_observed_mouse	0	0	0	0	10	0	15	20	20	10	50	25	95	100
70	56	2	singular_observed_mouse	0	7	50	3	17	58	58	95	72	85	95	87	99	99
71	25	1	singular_observed_mouse	5	10	10	10	45	55	60	90	65	68	95	70	95	95
72	25	2	singular_observed_mouse	0	50	50	20	60	50	75	70	75	65	60	85	85	100
73	30	2	singular_observed_mouse	0	50	50	0	50	50	50	50	50	75	50	50	75	100
74	34	1	singular_observed_mouse	0	0	39	21	85	79	38	100	47	64	100	57	100	100
75	61	2	singular_observed_mouse	0	3	18	6	55	58	52	52	55	57	83	60	90	99
76	34	1	singular_observed_mouse	1	4	4	21	42	28	33	42	76	77	76	75	89	98
77	32	1	singular_observed_mouse	43	36	54	39	73	68	50	57	66	69	56	69	86	93
78	32	1	singular_observed_mouse	90	80	50	30	90	80	50	30	90	80	50	90	80	90
79	56	1	singular_observed_mouse	2	20	50	50	70	50	60	95	50	60	90	55	98	98
80	25	1	singular_observed_mouse	50	50	50	50	50	55	55	90	60	75	95	75	99	99
81	30	2	singular_observed_mouse	49	50	50	50	71	51	67	63	75	71	71	87	81	100
82	33	2	singular_observed_mouse	0	0	0	0	25	25	50	100	50	66	100	75	100	100
